18,12,59
19,12,59
18,13,58
16,13,59
16,13,59
14,13,58
15,13,58
15,13,59
16,13,58
16,13,58
17,13,59
18,13,59
18,13,59
18,13,59
17,12,59
17,13,59
16,13,59
16,12,59
16,13,59
16,12,59
17,12,59
17,12,59
19,12,59
18,12,60
18,12,59
18,11,59
18,12,59
18,12,59
17,12,59
17,13,59
17,13,58
18,12,59
18,12,59
18,12,59
18,12,60
18,12,59
18,12,59
17,13,58
17,13,58
17,13,58
17,13,58
16,13,58
17,13,59
17,13,59
17,13,59
18,13,59
17,14,58
17,14,58
17,14,58
17,13,58
17,13,59
17,13,59
17,12,59
18,11,67
26,14,84
31,17,102
4,30,109
2,39,107
-15,47,90
-21,54,63
-21,61,51
-2,57,45
-4,61,32
-6,64,12
-13,54,2
-9,51,2
-13,23,13
-18,15,15
-15,3,29
-14,0,36
-28,4,36
-38,5,34
-39,10,36
-37,15,37
-37,24,35
-36,31,36
-37,30,38
-35,31,38
-34,31,38
-33,29,39
-42,29,40
-43,31,35
-40,34,36
-43,32,40
-45,33,42
-40,32,42
-36,33,40
-37,32,39
-37,33,34
-39,33,34
-42,31,35
-41,32,37
-43,31,40
